deathbatkill,"[245, 5, 4]",36,14853,stnd.SpecialPerson(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
maerthyu,"[3313, 5, 5]",17,4089,stnd.LoyalFollower(),"Jobs.Unemployed(64, 1, [], 5, 5,0,1,0,1)"
unsightedwizard,"[1440, 10, 5]",3,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
wegh4679,"[20868, 20, 11]",23,6614,stnd.Veteran(),"Jobs.Mechanic(4608, 14, [], 20, 11,0,1,0,1)"
nolicanoli10,"[9589, 8, 2]",18,4395,stnd.LoyalFollower(),"Jobs.Street_Performer(3617, 13, [], 8, 2,0,1,0,1)"
lobofps,"[160, 10, 5]",6,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
pots_,"[3816, 5, 5]",7,572,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
eyepatch0325,"[735, 10, 5]",8,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
javioyt,"[480, 10, 5]",9,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
riyzoh,"[310, 10, 5]",10,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
divinecoke,"[490, 5, 5]",11,140,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
protoxider,"[2325, 5, 4]",14,2820,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
edhfednbd,"[45, 10, 5]",13,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
shuruni,"[107694, 15, 8]",27,9021,stnd.Shuruni(),"Jobs.Farmer(4141, 13, [], 15, 8,0,1,0,1)"
testbot5,"[738, 10, 5]",3,321,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
a_forest_ganker,"[5, 10, 5]",14,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
jtrieu089,"[11570, 10, 5]",36,14851,stnd.NoLifer(),"Jobs.Bartender(13214, 25, [], 10, 5,0,1,0,1)"
shadowdrake77,"[1272, 5, 5]",16,1143,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
hikikono,"[2011, 5, 5]",16,3500,stnd.Moderator(),"Jobs.Scavenger(2290, 10, [], 5, 5,0,1,0,1)"
mcrocks10924,"[65, 5, 5]",18,160,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
khrymzon,"[2248, 10, 16]",19,4001,stnd.Newbie(),"Jobs.Peddler(3010, 11, [], 10, 16,0,1,0,1)"
lonins5,"[725, 10, 5]",20,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
thelonelynep,"[1448, 8, 3]",21,394,stnd.Newbie(),"Jobs.Outsider(234, 2, [], 8, 3,0,1,0,1)"
thefanboy902,"[615, 10, 5]",22,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
sharkscape,"[615, 10, 5]",23,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
laughten_,"[670, 10, 5]",24,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
lunar_siblings,"[27503, 9, 5]",44,21017,stnd.Moderator(),"Jobs.Writer(17971, 30, [], 9, 5,0,1,0,1)"
yoyoboy888,"[95, 10, 5]",26,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
xxlink99xx,"[95, 10, 5]",27,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
isaboo101,"[292, 5, 4]",28,336,stnd.Newbie(),"Jobs.Unemployed(32, 0, [], 5, 4,0,1,0,1)"
medinsoner,"[189, 5, 4]",29,43,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
m4rve1,"[0, 10, 5]",30,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
marebot,"[0, 10, 5]",32,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
bobmoew,"[60, 10, 5]",0,29,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
max_fromyour_closet,"[130, 10, 5]",0,77,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
smohc_stahc,"[0, 10, 5]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
kurelia,"[344, 10, 4]",2,226,stnd.Newbie(),"Jobs.Lesser_Demon(94, 1, [], 10, 4,0,1,0,1)"
boruma,"[30757, 20, 4]",31,10983,stnd.Moderator(),"Jobs.Greater_Demon(6886, 18, [], 20, 4,0,1,0,1)"
kaininjaz,"[25, 10, 5]",0,13,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
saepe,"[652, 5, 4]",5,620,stnd.Fledgling(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
crisdathug,"[5, 10, 5]",0,5,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
proffessorgio96,"[610, 10, 5]",1,154,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
rendium_adendum,"[429, 5, 4]",2,271,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
mechanical1337,"[385, 10, 5]",0,26,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
bubbles_mane,"[385, 10, 5]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
johnsnowtiger,"[70, 10, 5]",0,33,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
animorph59,"[70, 10, 5]",0,6,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
ic3cr4sh3r,"[341, 5, 5]",0,55,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
capthelpful,"[348, 5, 4]",2,235,stnd.Newbie(),"Jobs.Unemployed(24, 0, [], 5, 4,0,1,0,1)"
bman4evah,"[406, 10, 5]",0,63,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
stareexx,"[406, 10, 5]",0,31,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
gosuperbelly,"[406, 10, 5]",0,36,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
alazyname,"[838, 5, 4]",4,448,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
idogftw00,"[406, 10, 5]",0,4,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
mochi_umai,"[100, 10, 5]",0,38,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
danielh90,"[100, 10, 5]",0,28,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
bottledhate,"[140, 10, 5]",1,91,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
panda121pll,"[375, 10, 5]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
unoboy09,"[570, 5, 5]",2,275,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
mlr_tachyon,"[375, 10, 5]",0,43,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
julian101801,"[375, 10, 5]",0,49,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
direkappa,"[375, 10, 5]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
pizarrik,"[375, 10, 5]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
darkheal1,"[570, 10, 5]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
tbolt234,"[570, 10, 5]",1,90,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
owenviau1,"[570, 10, 5]",0,40,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
joshisbeast23456,"[570, 10, 5]",0,43,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
mricebear420,"[570, 10, 5]",0,56,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
yggipredne,"[570, 10, 5]",0,30,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
coolmarcus2000,"[570, 10, 5]",0,68,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
ayu,"[1730, 5, 4]",8,1276,stnd.Fledgling(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
reikonyan,"[537, 5, 4]",1,144,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
zerrah420,"[60, 10, 5]",0,34,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
luis_meme13,"[605, 10, 5]",1,158,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
papafranku666420,"[605, 10, 5]",0,32,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
mattsenpaimobile,"[665, 5, 5]",5,736,stnd.Fledgling(),"Jobs.Unemployed(162, 1, [], 5, 5,0,1,0,1)"
somestupidstuff,"[605, 10, 5]",0,12,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
helixsuzumiya,"[51, 7, 5]",0,66,stnd.Newbie(),"Jobs.Lesser_Demon(62, 1, [], 7, 5,0,1,0,1)"
daysie118,"[5, 5, 5]",0,26,stnd.Newbie(),"Jobs.Unemployed(139, 1, [], 5, 5,0,1,0,1)"
chrissmith112,"[5, 5, 5]",0,63,stnd.Newbie(),"Jobs.Unemployed(139, 1, [], 5, 5,0,1,0,1)"
wlp_,"[5, 5, 5]",0,37,stnd.Newbie(),"Jobs.Unemployed(139, 1, [], 5, 5,0,1,0,1)"
1roha_,"[5, 5, 5]",0,0,stnd.Newbie(),"Jobs.Unemployed(139, 1, [], 5, 5,0,1,0,1)"
jdrago14,"[5, 5, 5]",0,72,stnd.Newbie(),"Jobs.Unemployed(139, 1, [], 5, 5,0,1,0,1)"
miyokei_kun,"[5, 5, 5]",0,38,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
fiszx,"[5, 5, 5]",4,457,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
thebhopguy,"[5, 5, 5]",0,37,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
imthenewfishy,"[3045, 5, 4]",0,32,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
lazr12,"[3045, 5, 4]",1,118,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
an1m3z,"[3037, 14, 15]",4,515,stnd.Newbie(),"Jobs.Adventurer(447, 3, [], 14, 15,0,1,0,1)"
killemall98,"[4516, 10, 6]",6,828,stnd.Fledgling(),"Jobs.Outsider(777, 5, [], 10, 6,0,1,0,1)"
toshi908,"[3045, 5, 4]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
peepyee,"[3045, 5, 4]",1,127,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
chara_reborn,"[3045, 5, 4]",0,33,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
r7dell1313,"[3045, 5, 4]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
ggmannn,"[3045, 5, 4]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
kolkat,"[3045, 5, 4]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
hatsune4321,"[3045, 5, 4]",2,203,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
ericyoon123,"[3045, 5, 4]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
nosoymau_,"[3045, 5, 4]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
deluxgamer,"[3045, 5, 4]",0,31,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
monkeymanjim96,"[3104, 6, 1]",0,78,stnd.Newbie(),"Jobs.Apprentice(34, 0, [], 6, 1,0,1,0,1)"
kitfisto39,"[3045, 5, 4]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
lennybellens,"[3045, 5, 4]",1,160,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
znyaah,"[3045, 5, 4]",0,49,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
grassgrow,"[3045, 5, 4]",0,26,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
ghost_rule,"[3045, 5, 4]",0,79,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
tanerine2,"[3045, 5, 4]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
loopy039,"[3045, 5, 4]",0,33,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
iamdumbasfack,"[3045, 5, 4]",0,34,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
dubstepgamer20,"[3045, 5, 4]",0,25,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
gay_ret_ard,"[3045, 5, 4]",0,26,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
veteranjungle2,"[3045, 5, 4]",1,118,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
31977783,"[3045, 5, 4]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
unknown_guy666,"[3045, 5, 4]",2,253,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
dragonkahn,"[3045, 5, 4]",2,243,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
yevas,"[3045, 5, 4]",0,37,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
360noscope29,"[2421, 5, 4]",7,1018,stnd.Fledgling(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
tiger5012,"[3045, 5, 4]",0,37,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
degadethsorata,"[3045, 5, 4]",0,25,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
ujax_deks,"[3045, 5, 4]",0,40,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
6arada4,"[3045, 5, 4]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
nrvist,"[3045, 5, 4]",0,76,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
