deathbatkill,"[245, 5, 4]",36,14853,stnd.SpecialPerson(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
wouldbanghappystick,"[3045, 5, 4]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
deevil_cs,"[3045, 5, 4]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
revable,"[3045, 5, 4]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
ropuszunia,"[3045, 5, 4]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
dscrumptiousgnome,"[3045, 5, 4]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
xdrakensx,"[3045, 5, 4]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
pee_pee_milk,"[3045, 5, 4]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
knawking,"[3075, 5, 4]",1,153,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
flurrydog83061,"[3045, 5, 4]",0,43,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
jordync,"[3045, 5, 4]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
callmelucifer225,"[3045, 5, 4]",0,49,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
magnus____,"[3045, 5, 4]",0,28,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
moon200070,"[3045, 5, 4]",0,25,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
moblewter,"[3045, 5, 4]",0,81,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
zpivot,"[3045, 5, 4]",0,52,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
xjarox_streams,"[3045, 5, 4]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
nebulaunity,"[3045, 5, 4]",0,74,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
mrsuper14,"[3045, 5, 4]",0,27,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
bitardz,"[3045, 5, 4]",0,33,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
ug_mnm,"[3055, 5, 4]",0,73,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
dawn_osu,"[3045, 5, 4]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
cooldue7,"[3045, 5, 4]",0,63,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
xactiive,"[3045, 5, 4]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
madis2223,"[3045, 5, 4]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
madpybro,"[3062, 5, 4]",2,199,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
stevense2,"[3045, 5, 4]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
mrlimaktv,"[3045, 5, 4]",0,52,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
idrinkwater6996,"[3045, 5, 4]",0,26,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
rankedosu,"[3045, 5, 4]",0,53,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
vogey,"[3045, 5, 4]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
eujinajean,"[3045, 5, 4]",1,118,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
fehu228,"[3045, 5, 4]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
abdelplaysosu,"[3200, 5, 4]",3,359,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
ankolog,"[3045, 5, 4]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
dayumwot,"[3045, 5, 4]",1,132,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
dancingtac0,"[3045, 5, 4]",0,63,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
fampoo,"[3045, 5, 4]",0,70,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
crackbot99,"[3045, 5, 4]",0,74,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
pasheris,"[3045, 5, 4]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
hasersoul,"[3045, 5, 4]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
eddz74,"[3045, 5, 4]",0,75,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
pasheriuha,"[3045, 5, 4]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
emotioncat,"[3045, 5, 4]",0,33,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
rozule,"[3045, 5, 4]",0,72,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
blueflame16gmd,"[3045, 5, 4]",0,60,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
gamingtk,"[3077, 5, 4]",1,135,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
ilovebbq,"[3045, 5, 4]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
chromon,"[159, 8, 5]",6,831,stnd.Fledgling(),"Jobs.Writer(558, 4, [], 8, 5,0,1,0,1)"
limocknil,"[1314, 15, 7]",7,1092,stnd.Fledgling(),"Jobs.Farmer(774, 5, [], 15, 7,0,1,0,1)"
update124,"[28, 5, 4]",0,68,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
l8devon8l,"[72, 5, 4]",2,214,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
stacytritt,"[206, 5, 4]",5,628,stnd.Fledgling(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
no_logic_necessary,"[5, 5, 5]",2,271,stnd.Newbie(),"Jobs.Mechanic(260, 2, [], 14, 14,0,1,0,1)"
animelvr23,"[5, 5, 5]",0,38,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
animerh8r23,"[5, 5, 5]",0,43,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
cum6969123,"[5, 5, 5]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
cum6969123123,"[5, 5, 5]",0,25,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
shuruni_is_a_god,"[5, 5, 5]",1,135,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
dannysma,"[5, 5, 5]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
rekumaa,"[0, 10, 5]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
xxxswagonitexxx,"[109, 5, 4]",1,83,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
alphabean,"[109, 5, 4]",1,134,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
lalicel,"[109, 5, 4]",0,52,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
supremeosu,"[109, 5, 4]",0,49,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
ausapling,"[5, 5, 5]",0,17,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
ichor_osu,"[30, 5, 5]",0,78,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
dan05osu,"[75, 8, 3]",1,82,stnd.Newbie(),"Jobs.Apprentice(47, 0, [], 8, 3,0,1,0,1)"
mashimuzy,"[30, 5, 5]",0,58,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
fatality321,"[5, 5, 5]",0,37,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
alb55,"[0, 10, 5]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
everyjuan,"[0, 10, 5]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
therandomxboxuser,"[0, 10, 5]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
wetsocks54,"[5, 5, 5]",0,30,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
vovls,"[5, 5, 5]",0,42,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
sprux,"[5, 5, 5]",0,26,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
brans0n,"[5, 5, 5]",0,36,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
angablade,"[5, 5, 5]",0,57,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
jerryisreal,"[28, 5, 4]",1,106,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
sinfulvoodoo,"[5, 5, 5]",0,42,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
mr_silverwolf,"[0, 10, 5]",0,0,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
sweetcherroblox,"[15, 5, 4]",0,29,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
nabibot_,"[5, 5, 4]",0,8,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
chainsawchody,"[5, 5, 5]",0,61,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
fartbubbler,"[5, 5, 5]",0,27,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
emp_n,"[66, 5, 4]",1,83,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
crabchat,"[66, 5, 4]",0,56,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
khaledboumsik123,"[66, 5, 4]",0,30,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
tomokokosu,"[5, 5, 5]",0,57,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
noobiesnake,"[5, 5, 5]",0,53,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
thedaether,"[5, 5, 5]",0,42,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
derzok,"[93, 5, 4]",1,120,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
demonmike1234,"[93, 5, 4]",1,94,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
sfm1903,"[93, 5, 4]",0,25,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
manlyman2123,"[93, 5, 4]",0,29,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
friskinc,"[72, 5, 4]",4,446,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
mastergts,"[131, 5, 4]",0,78,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
joshua7768,"[124, 5, 4]",0,27,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
oreoni,"[124, 5, 4]",1,113,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
henokport3,"[154, 5, 4]",1,108,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
joepit,"[5, 5, 5]",0,9,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
myrasciatis,"[5, 5, 5]",5,687,stnd.Fledgling(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
scrappymetal,"[5, 5, 5]",0,34,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
beingrin,"[5, 5, 5]",0,44,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
maverick767,"[5, 5, 5]",0,43,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
fluffypenguin65,"[5, 5, 5]",3,314,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
kapur32,"[5, 5, 5]",0,26,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
killerfaithfish,"[5, 5, 5]",0,54,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
storbenn,"[5, 5, 5]",0,34,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
zveredith,"[5, 5, 5]",3,379,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
maracujinabr,"[5, 5, 5]",0,36,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 5,0,1,0,1)"
sunnysunnybear,"[44, 5, 4]",1,108,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
getrektbyninja,"[325, 5, 4]",3,404,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
nitrocolaa,"[325, 5, 4]",0,34,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
night_owl21,"[325, 5, 4]",0,37,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
aratakai,"[325, 5, 4]",1,140,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
beafowl_osu,"[325, 5, 4]",0,38,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
gasaiwilly,"[325, 5, 4]",0,43,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
anchti,"[325, 5, 4]",0,53,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
epiclevelnerd19,"[325, 5, 4]",2,215,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
bladedranger,"[24, 5, 4]",0,29,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
blanksenpai,"[24, 5, 4]",0,23,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
milkymoolol,"[28, 5, 4]",0,27,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
x7r0113dx,"[28, 5, 4]",0,34,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
lunar_sister,"[128, 5, 4]",3,422,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
enderlikesramen,"[55, 5, 4]",1,168,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
thelegendofjose22,"[51, 5, 4]",0,25,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
lancepie,"[51, 5, 4]",1,90,stnd.Newbie(),"Jobs.Unemployed(0, 0, [], 5, 4,0,1,0,1)"
